metric,metric_label,companies,P10,P25,P50,P75,P90,Mean,Std
return_on_equity_pct,ROE %,92,8.387,11.61,15.797,25.928,47.966,122.628,633.751
return_on_capital_employed_pct,ROCE %,91,3.962,11.224,20.368,36.163,118.215,195.3,836.216
net_profit_margin_pct,NPM %,92,4.619,7.248,14.022,20.349,29.245,19.938,45.195
operating_profit_margin_pct,OPM %,91,9.838,16.008,25.834,40.154,84.043,34.8,27.255
debt_to_equity,D/E,92,0.009,0.061,0.436,1.644,6.58,1.787,3.077
interest_coverage,ICR,91,1.611,3.18,11.361,58.089,192.29,126.168,485.932
asset_turnover,Asset turnover,92,0.072,0.204,0.671,1.132,1.652,3.467,15.764
revenue_cagr_5yr,Rev CAGR 5y %,91,6.447,8.441,11.836,17.183,21.168,13.01,7.391
pat_cagr_5yr,PAT CAGR 5y %,83,4.324,9.696,16.43,23.621,37.911,20.456,20.52
free_cash_flow_cr,FCF (Cr),92,-14435.1,-1290.0,1123.5,8348.5,20412.2,915.217,23129.881
